"area","area_type","year","residential","commercial"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2011/2012","1.62","4.72"
"CITY OF SYDNEY","Cape Breton Regional","2011/2012","2.22","5.59"
"DOMINION","Cape Breton Regional","2011/2012","2.02","4.92"
"GLACE BAY","Cape Breton Regional","2011/2012","2.04","4.92"
"LOUISBOURG","Cape Breton Regional","2011/2012","1.97","4.92"
"NEW WATERFORD","Cape Breton Regional","2011/2012","2.03","4.92"
"NORTH SYDNEY","Cape Breton Regional","2011/2012","2.06","4.92"
"SYDNEY MINES","Cape Breton Regional","2011/2012","1.94","4.92"
"BEDFORD","Halifax Regional","2011/2012","1.28","3.8"
"COUNTY RURAL","Halifax Regional","2011/2012","1.22","3.37"
"COUNTY SUBURBAN","Halifax Regional","2011/2012","1.25","3.78"
"COUNTY URBAN","Halifax Regional","2011/2012","1.28","3.8"
"DARTMOUTH","Halifax Regional","2011/2012","1.28","3.8"
"HALIFAX","Halifax Regional","2011/2012","1.27","3.78"
"HALIFAX URBAN CORE","Halifax Regional","2011/2012","1.28","3.8"
"LIVERPOOL","Region of Queens","2011/2012","1.81","2.95"
"QUEENS COUNTY","Region of Queens","2011/2012","0.9","2.04"
"ANNAPOLIS","Rural Municipality","2011/2012","0.98","1.8"
"ANTIGONISH","Rural Municipality","2011/2012","0.88","1.48"
"ARGYLE","Rural Municipality","2011/2012","1.07","2.25"
"BARRINGTON","Rural Municipality","2011/2012","1.06","2.63"
"CHESTER","Rural Municipality","2011/2012","0.64","1.54"
"CLARE","Rural Municipality","2011/2012","1.02","2.07"
"COLCHESTER","Rural Municipality","2011/2012","0.83","2.25"
"CUMBERLAND","Rural Municipality","2011/2012","1.04","2.63"
"DIGBY","Rural Municipality","2011/2012","1.3","1.85"
"EAST HANTS","Rural Municipality","2011/2012","0.89","2.7"
"GUYSBOROUGH","Rural Municipality","2011/2012","0.61","2.58"
"INVERNESS","Rural Municipality","2011/2012","1.02","1.85"
"KINGS","Rural Municipality","2011/2012","0.85","2.29"
"LUNENBURG","Rural Municipality","2011/2012","0.84","2.08"
"PICTOU","Rural Municipality","2011/2012","0.81","1.82"
"RICHMOND","Rural Municipality","2011/2012","0.75","2.01"
"SHELBURNE","Rural Municipality","2011/2012","1.28","1.82"
"ST. MARY'S","Rural Municipality","2011/2012","0.82","2.13"
"VICTORIA","Rural Municipality","2011/2012","1.22","2.19"
"WEST HANTS","Rural Municipality","2011/2012","0.91","1.6"
"YARMOUTH","Rural Municipality","2011/2012","1.15","2.15"
"AMHERST","Town","2011/2012","1.67","4.6"
"ANNAPOLIS ROYAL","Town","2011/2012","1.7","3.15"
"ANTIGONISH","Town","2011/2012","0.97","2.5"
"BERWICK","Town","2011/2012","1.62","3.91"
"BRIDGETOWN","Town","2011/2012","2.01","3.79"
"BRIDGEWATER","Town","2011/2012","1.67","4.06"
"CANSO","Town","2011/2012","2.35","4.08"
"CLARK'S HARBOR","Town","2011/2012","1.65","5.58"
"DIGBY","Town","2011/2012","1.92","3.89"
"HANTSPORT","Town","2011/2012","1.66","3.69"
"KENTVILLE","Town","2011/2012","1.36","3.48"
"LOCKEPORT","Town","2011/2012","2.28","5.36"
"LUNENBURG","Town","2011/2012","1.28","3.26"
"MAHONE BAY","Town","2011/2012","1.18","2.9"
"MIDDLETON","Town","2011/2012","1.8","4.3"
"MULGRAVE","Town","2011/2012","1.3","4.43"
"NEW GLASGOW","Town","2011/2012","1.82","4.4"
"OXFORD","Town","2011/2012","1.59","4.98"
"PARRSBORO","Town","2011/2012","2.04","4.17"
"PICTOU","Town","2011/2012","1.88","4.4"
"PORT HAWKESBURY","Town","2011/2012","1.62","4.25"
"SHELBURNE","Town","2011/2012","2.06","3.81"
"SPRINGHILL","Town","2011/2012","2.25","5.53"
"STELLARTON","Town","2011/2012","1.82","4.15"
"STEWIACKE","Town","2011/2012","1.7","3.41"
"TRENTON","Town","2011/2012","1.99","5.49"
"TRURO","Town","2011/2012","1.76","4.44"
"WESTVILLE","Town","2011/2012","2.13","3.8"
"WINDSOR","Town","2011/2012","1.96","4.08"
"WOLFVILLE","Town","2011/2012","1.43","3.55"
"YARMOUTH","Town","2011/2012","1.75","4.52"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2010/2011","1.61","4.7"
"CITY OF SYDNEY","Cape Breton Regional","2010/2011","2.19","5.56"
"DOMINION","Cape Breton Regional","2010/2011","1.99","4.89"
"GLACE BAY","Cape Breton Regional","2010/2011","2.01","4.89"
"LOUISBOURG","Cape Breton Regional","2010/2011","1.94","4.89"
"NEW WATERFORD","Cape Breton Regional","2010/2011","2","4.89"
"NORTH SYDNEY","Cape Breton Regional","2010/2011","2.03","4.89"
"SYDNEY MINES","Cape Breton Regional","2010/2011","1.91","4.89"
"BEDFORD","Halifax Regional","2010/2011","1.31","3.84"
"COUNTY RURAL","Halifax Regional","2010/2011","1.24","3.39"
"COUNTY SUBURBAN","Halifax Regional","2010/2011","1.27","3.83"
"COUNTY URBAN","Halifax Regional","2010/2011","1.31","3.84"
"DARTMOUTH","Halifax Regional","2010/2011","1.31","3.84"
"HALIFAX","Halifax Regional","2010/2011","1.29","3.83"
"HALIFAX URBAN CORE","Halifax Regional","2010/2011","1.31","3.84"
"LIVERPOOL","Region of Queens","2010/2011","1.87","3.01"
"QUEENS COUNTY","Region of Queens","2010/2011","0.9","2.04"
"ANNAPOLIS","Rural Municipality","2010/2011","0.98","1.8"
"ANTIGONISH","Rural Municipality","2010/2011","0.88","1.48"
"ARGYLE","Rural Municipality","2010/2011","1.07","2.25"
"BARRINGTON","Rural Municipality","2010/2011","1.06","2.63"
"CHESTER","Rural Municipality","2010/2011","0.63","1.53"
"CLARE","Rural Municipality","2010/2011","1.02","2.07"
"COLCHESTER","Rural Municipality","2010/2011","0.82","2.25"
"CUMBERLAND","Rural Municipality","2010/2011","1.04","2.63"
"DIGBY","Rural Municipality","2010/2011","1.3","1.85"
"EAST HANTS","Rural Municipality","2010/2011","0.9","2.7"
"GUYSBOROUGH","Rural Municipality","2010/2011","0.59","2.56"
"INVERNESS","Rural Municipality","2010/2011","1.02","1.85"
"KINGS","Rural Municipality","2010/2011","0.85","2.29"
"LUNENBURG","Rural Municipality","2010/2011","0.81","2.06"
"PICTOU","Rural Municipality","2010/2011","0.81","1.82"
"RICHMOND","Rural Municipality","2010/2011","0.75","2.01"
"SHELBURNE","Rural Municipality","2010/2011","1.3","1.82"
"ST. MARY'S","Rural Municipality","2010/2011","0.84","2.15"
"VICTORIA","Rural Municipality","2010/2011","1.22","2.19"
"WEST HANTS","Rural Municipality","2010/2011","0.9","1.59"
"YARMOUTH","Rural Municipality","2010/2011","1.15","2.15"
"AMHERST","Town","2010/2011","1.67","4.6"
"ANNAPOLIS ROYAL","Town","2010/2011","1.7","3.15"
"ANTIGONISH","Town","2010/2011","0.93","2.47"
"BERWICK","Town","2010/2011","1.61","3.88"
"BRIDGETOWN","Town","2010/2011","1.85","3.63"
"BRIDGEWATER","Town","2010/2011","1.67","4.06"
"CANSO","Town","2010/2011","2.35","4.08"
"CLARK'S HARBOR","Town","2010/2011","1.66","5.58"
"DIGBY","Town","2010/2011","1.92","3.89"
"HANTSPORT","Town","2010/2011","1.66","3.55"
"KENTVILLE","Town","2010/2011","1.36","3.46"
"LOCKEPORT","Town","2010/2011","2.23","5.31"
"LUNENBURG","Town","2010/2011","1.3","3.3"
"MAHONE BAY","Town","2010/2011","1.19","2.94"
"MIDDLETON","Town","2010/2011","1.8","4.3"
"MULGRAVE","Town","2010/2011","1.27","4.4"
"NEW GLASGOW","Town","2010/2011","1.8","4.15"
"OXFORD","Town","2010/2011","1.56","4.95"
"PARRSBORO","Town","2010/2011","2.04","4.17"
"PICTOU","Town","2010/2011","1.99","4.4"
"PORT HAWKESBURY","Town","2010/2011","1.78","4.38"
"SHELBURNE","Town","2010/2011","2.06","3.81"
"SPRINGHILL","Town","2010/2011","2.25","5.53"
"STELLARTON","Town","2010/2011","1.82","4.15"
"STEWIACKE","Town","2010/2011","1.7","3.41"
"TRENTON","Town","2010/2011","1.99","5.49"
"TRURO","Town","2010/2011","1.75","4.44"
"WESTVILLE","Town","2010/2011","2.13","3.75"
"WINDSOR","Town","2010/2011","1.96","4.08"
"WOLFVILLE","Town","2010/2011","1.43","3.57"
"YARMOUTH","Town","2010/2011","1.75","4.52"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2009/2010","1.61","4.49"
"CITY OF SYDNEY","Cape Breton Regional","2009/2010","2.19","5.31"
"DOMINION","Cape Breton Regional","2009/2010","1.99","4.67"
"GLACE BAY","Cape Breton Regional","2009/2010","2.01","4.67"
"LOUISBOURG","Cape Breton Regional","2009/2010","1.94","4.67"
"NEW WATERFORD","Cape Breton Regional","2009/2010","2","4.67"
"NORTH SYDNEY","Cape Breton Regional","2009/2010","2.03","4.67"
"SYDNEY MINES","Cape Breton Regional","2009/2010","1.91","4.67"
"BEDFORD","Halifax Regional","2009/2010","1.28","3.71"
"COUNTY RURAL","Halifax Regional","2009/2010","1.23","3.22"
"COUNTY SUBURBAN","Halifax Regional","2009/2010","1.25","3.67"
"COUNTY URBAN","Halifax Regional","2009/2010","1.28","3.69"
"DARTMOUTH","Halifax Regional","2009/2010","1.29","3.71"
"HALIFAX","Halifax Regional","2009/2010","1.27","3.69"
"HALIFAX URBAN CORE","Halifax Regional","2009/2010","1.29","3.71"
"LIVERPOOL","Region of Queens","2009/2010","1.85","2.96"
"QUEENS COUNTY","Region of Queens","2009/2010","0.88","1.99"
"ANNAPOLIS","Rural Municipality","2009/2010","0.98","1.8"
"ANTIGONISH","Rural Municipality","2009/2010","0.88","1.48"
"ARGYLE","Rural Municipality","2009/2010","1.07","2.2"
"BARRINGTON","Rural Municipality","2009/2010","1.06","2.63"
"CHESTER","Rural Municipality","2009/2010","0.61","1.51"
"CLARE","Rural Municipality","2009/2010","1.02","1.96"
"COLCHESTER","Rural Municipality","2009/2010","0.79","2.1"
"CUMBERLAND","Rural Municipality","2009/2010","1.04","2.47"
"DIGBY","Rural Municipality","2009/2010","1.3","1.85"
"EAST HANTS","Rural Municipality","2009/2010","0.87","2.67"
"GUYSBOROUGH","Rural Municipality","2009/2010","0.59","2.35"
"INVERNESS","Rural Municipality","2009/2010","1.02","1.85"
"KINGS","Rural Municipality","2009/2010","0.85","2.16"
"LUNENBURG","Rural Municipality","2009/2010","0.79","1.92"
"PICTOU","Rural Municipality","2009/2010","0.81","1.71"
"RICHMOND","Rural Municipality","2009/2010","0.72","1.9"
"SHELBURNE","Rural Municipality","2009/2010","1.3","1.82"
"ST. MARY'S","Rural Municipality","2009/2010","0.81","2.12"
"VICTORIA","Rural Municipality","2009/2010","1.22","2.19"
"WEST HANTS","Rural Municipality","2009/2010","0.89","1.57"
"YARMOUTH","Rural Municipality","2009/2010","1.15","2.15"
"AMHERST","Town","2009/2010","1.67","4.31"
"ANNAPOLIS ROYAL","Town","2009/2010","1.65","3.05"
"ANTIGONISH","Town","2009/2010","0.9","2.36"
"BERWICK","Town","2009/2010","1.59","3.62"
"BRIDGETOWN","Town","2009/2010","1.85","3.63"
"BRIDGEWATER","Town","2009/2010","1.63","3.72"
"CANSO","Town","2009/2010","2.35","4.08"
"CLARK'S HARBOR","Town","2009/2010","1.65","5.14"
"DIGBY","Town","2009/2010","1.92","3.89"
"HANTSPORT","Town","2009/2010","1.63","3.35"
"KENTVILLE","Town","2009/2010","1.29","3.23"
"LOCKEPORT","Town","2009/2010","2.21","5.28"
"LUNENBURG","Town","2009/2010","1.3","3.3"
"MAHONE BAY","Town","2009/2010","1.18","2.83"
"MIDDLETON","Town","2009/2010","1.8","4.17"
"MULGRAVE","Town","2009/2010","1.37","4.5"
"NEW GLASGOW","Town","2009/2010","1.77","4.02"
"OXFORD","Town","2009/2010","1.56","4.55"
"PARRSBORO","Town","2009/2010","2.04","3.93"
"PICTOU","Town","2009/2010","2.06","4.4"
"PORT HAWKESBURY","Town","2009/2010","1.8","4.26"
"SHELBURNE","Town","2009/2010","2.04","3.81"
"SPRINGHILL","Town","2009/2010","2.25","5.38"
"STELLARTON","Town","2009/2010","1.82","3.55"
"STEWIACKE","Town","2009/2010","1.7","3.24"
"TRENTON","Town","2009/2010","1.99","5.49"
"TRURO","Town","2009/2010","1.73","4.11"
"WESTVILLE","Town","2009/2010","2.13","3.75"
"WINDSOR","Town","2009/2010","1.9","3.9"
"WOLFVILLE","Town","2009/2010","1.4","3.49"
"YARMOUTH","Town","2009/2010","1.75","4.21"
