"registry_id","co_op_name","incorporation_year","address","town","province_state","postal_code","non_profit_n_for_profit_p","type"
"4420845","COMPASS NS CO-OPERATIVE HOMES LTD.","2022-05-12","207 - 59 INGLIS PLACE","TRURO","NS","B2N 4B4","N","HOUSING"
"4431445","BEAR RIVER EATS CO-OPERATIVE LTD.","2022-07-29","1899 CLEMENTSVALE RD","BEAR RIVER","NS","B0S 1B0","N","SERVICES"
"4443704","MAHONE BAY COMMUNITY LAND CO-OPERATIVE LTD.","2022-08-12","232 MAIN STREET","MAHONE BAY","NS","B0J 2E0","N","SERVICES"
"4452700","VERFA INVESTMENT CO-OPERATIVE LTD","2022-10-05","435 WILLOW STREET","TRURO","NS","B2N 6T2","P","INVESTMENT"
"4464254","UNAMA'KI MOTION PICTURE CO-OPERATIVE LTD.","2022-11-01","4 JOHNSON CRESCENT","COXHEATH","NS","B1R2G6","N","WORKER LABOUR"
"4482236","GALLERY 360 ART  CO-OPERATIVE LIMITED","2023-01-09","185 WEST LONG ISLAND ROAD","NORTH GRAND PRE","NS","B0P 1M0","N","CRAFT PRODUCTS"
"4486264","QUEENS NEIGHBOURHOOD CO-OPERATIVE HOUSING LTD.","2023-02-09","P.O. BOX 99","LIVERPOOL","NS","B0T 1K0","N","HOUSING"
"4488453","SCRAPPY LADY PRODUCTIONS CO-OPERATIVE LIMITED","2023-02-15","176  PROSPECT AVE","KENTVILLE","NS","B4N 2L8","N","RETAIL CONSUMER PRODUCTS"
"4489460","PORTAPIQUE MARKET CO-OPERATIVE LTD.","2023-02-15","55  MCLEOD RD","MANGANESE MINES","NS","B6L 2K2","N","CRAFT PRODUCTS"
"4491116","LUNENBURG BARNACLE PUBLISHING CO-OPERATIVE LTD.","2023-03-13","PO BOX 983","LUNENBURG","NS","B0J2C0","N","WORKER LABOUR"
"4496590","HOUSING INNOVATION CO-OPERATIVE LTD.","2023-03-24","215 EAST PETPESWICK ROAD","EAST PETPESWICK","NS","B0J 2L0","N","SERVICES"
"4502023","TIDAL BAY COMMUNITY LAND CO-OPERATIVE LIMITED","2023-04-03","208 - 59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","SERVICES"
"4527723","STILL WATERS ECOVILLAGE CO-OPERATIVE LTD.","2023-09-15","48 KISSING BRIDGE ROAD","LUNENBURG","NS","B0J2C0","N","HOUSING"
"4537762","VALLEY ROOTS HOUSING CO-OPERATIVE LTD.","2023-09-08","481 MAIN STREET","KENTVILLE","NS","B2N 1K9","N","HOUSING"
"4539050","ATLANTIC SEA CHANGE CO-OPERATIVE HOUSING LTD.","2023-08-14","23 PINE DRIVE","MAHONE BAY","NS","B0J2E0","N","HOUSING"
"4539488","MANCHESTER COMMUNITY PASTURE CO-OPERATIVE LIMITED","2023-08-15","488 HIGHWAY 344","MANCHESTER","NS","B0H 1G0","N","SERVICES"
"4549147","ATLANTIC BURLESQUE CO-OPERATIVE LTD.","2023-09-15","5550 DUFFUS STREET","HALIFAX","NS","B3K 2M4","N","SERVICES"
"4569571","HALIFAX REGIONAL FOOD HUB CO-OPERATIVE LTD.","2023-12-12","21 WILLIAMS AVE, 100","HALIFAX","NS","B3B 1X3","N","SERVICES"
"4570235","SEED AND SPARK BOOK STORE CO-OPERATIVE LTD","2024-03-12","P.O. BOX 8072","HALIFAX","NS","B3K5L8","P","WORKER LABOUR"
"4596669","COBEQUID EMERGENCY PHYSICIANS CO-OPERATIVE LIMITED","2024-03-11","40  FREER LANE","LOWER SACKVILLE","NS","B4C 0A2","P","WORKER LABOUR"
"4611820","NESTUIN NETWORK CO-OPERATIVE LIMITED","2024-06-06","31  SESAME ST","INDIAN BROOK 14","NS","B0N 2H0","N","SERVICES"
"4620164","YELLOW HEN CO-OPERATIVE LTD","2024-06-07","27  CHRISTOPHER AVE","SOUTH UNIACKE","NS","B0N 1Z0","N","SERVICES"
"4626892","DREAMKIDS DAYCARE CO-OPERATIVE LTD","2024-06-27","35  FARRELL ST","DARTMOUTH","NS","B3A 4B2","N","SERVICES"
"4628149","OLD SCHOOL CO-OPERATIVE MERCHANTS LTD","2024-05-30","347 ROBERTSON RD","EGERTON","NS","B0K 1G0","N","SERVICES"
"4633702","RAINBOW GROVE HOUSING CO-OPERATIVE LIMITED","2024-07-26","246 FALMOUTH BACK ROAD","FALMOUTH","NS","B0P1P0","N","HOUSING"
"4640611","DIVERSE COMMUNITIES CO-OPERATIVE LIMITED","2024-09-26","PO BOX 2380","HALIFAX","NS","B3J 3E5","N","HOUSING"
"4644018","UPPER HAMMONDS PLAINS HOUSING CO-OPERATIVE LIMITED","2024-09-03","711  POCKWOCK RD","UPPER HAMMONDS PLAINS","NS","B4B 1N8","N","HOUSING"
"4646012","CROWS' COMMONS CO-OPERATIVE LTD","2024-11-05","100 HIGH STREET, BOX #166","BRIDGEWATER","NS","B4V1V9","N","HOUSING"
"4651584","WHYCOCOMAGH AND AREA HOUSING DEVELOPMENT COOPERATIVE LTD","2024-10-21","9402 TRANS-CANADA HWY","WHYCOCOMAGH","NS","B0E 3M0","N","HOUSING"
"4658518","SAME RIVER COMMUNITY LAND TRUST CO-OPERATIVE LTD","2024-10-25","70 HAROLD ST.","SYDNEY","NS","B1P3M1","N","SERVICES"
"4672780","WILLOW'S BEND WEAVING COLLECTIVE CO-OPERATIVE LTD","2025-01-21","40 OLD SOUTH RIVER ROAD","ANTIGONISH","NS","B2G 2H2","N","SERVICES"
"4677665","EASTERN SHORE MENTAL HEALTH CO-OPERATIVE LTD","2025-01-28","167  OSTREA LAKE RD","OSTREA LAKE","NS","B0J 2L0","N","SERVICES"
"4678916","GALLERY ON LINCOLN CO-OPERATIVE LTD","2025-01-27","PO BOX 1175","LUNENBURG","NS","B0J 2C0","N","MARKETING"
"4685754","PLACEHOLDER HOUSING CO-OPERATIVE LTD","2025-02-25","6239  LAWRENCE ST","HALIFAX","NS","B3L 1J8","N","HOUSING"
"4702749","OAKENHAVEN ECOVILLAGE CO-OPERATIVE LIMITED","2025-04-02","1006 ARGYLE SOUND ROAD","MIDDLE WEST PUBNICO","NS","B0W 3S0","N","HOUSING"
"4711554","DEVOPSDAYS HALIFAX CO-OPERATIVE LTD","2025-05-28","73  SPRUCE POINT RD","EAST RIVER POINT","NS","B0J 1T0","N","SERVICES"
"4718541","BASKETBALL IQ CANADA CO-OPERATIVE LIMITED","2025-06-04","38  LASALLE CRT","BEDFORD","NS","B4B 0H8","N","SERVICES"
"4719865","EAST HANTS FARMERS' MARKET CO-OPERATIVE LIMITED","2025-06-08","4  HICKORY LANE","RINES CREEK","NS","B0N 2H0","N","RETAIL CONSUMER PRODUCTS"
"4725656","F&M GENTLE REACH CO-OPERATIVE LTD","2025-07-07","1701  HOLLIS ST, 813","HALIFAX","NS","B3J 3M8","N","SERVICES"
"4752405","TATAPNN CO-OPERATIVE LIMITED","2025-10-22","256 WAVERLEY ROAD","DARTMOUTH","NS","B2X2C6","N","MISCELLANEOUS"
"4757525","THE WELL CO-OPERATIVE PUB LTD","2025-10-28","10  COURTNEY RD","DARTMOUTH","NS","B3A 4B8","P","SERVICES"
"4759968","FROM THE CIRCUS CO-OPERATIVE LTD","2025-11-13","1619 KETCH HARBOUR ROAD","SAMBRO","NS","B3V 1L4","N","WORKER LABOUR"
"4766466","JUST HOUSING ALLIANCE CO-OPERATIVE LTD","2026-02-27","10188  HIGHWAY 1","GREENWICH","NS","B4P 0M8","N","HOUSING"
"4797366","BETTER THAN PICASSO CO-OPERATIVE LTD","2026-02-26","12 SHERWOOD STREET","DARTMOUTH","NS","B2V 2P4","N","SERVICES"
"4820593","FIDDLEHEAD CO-OPERATIVE MARKET BEAR RIVER LIMITED","2026-05-27","1882  CLEMENTSVALE RD","BEAR RIVER","NOVA SCOTIA","B0S1B0","P","AGRICULTURE"
